problem_id,variant,classical_objective,quantum_objective,final_objective,exact_objective,selected_load_ids,n_selected,total_demand_kg,capacity_utilization,feasible,improvement,classical_ms,qubo_build_ms,quantum_ms,decode_ms,total_ms,n_qubo_vars,coupling_density,seed,q_quantum_invoked,q_quantum_contribution_used,q_quantum_artifact_source,q_quantum_artifact_ids,q_quantum_contribution_score,q_classical_incumbent_objective,q_quantum_candidate_objective,q_final_route_source,q_rejection_reason,q_n_qubits,q_circuit_depth,q_shots,q_feasible_sampling_rate,q_coupling_density,q_skip_reason,experiment,category,algorithm,n_options
CIRC_035_MND_954F0551D2D8,HYBRID-3,-1586.6984625912448,-1586.6984625912448,-1586.6984625912448,-1586.6984625912448,"REQ_8ECF5D85FBFF,REQ_1CA414B99154",2,6760.0,0.7825371180900598,True,0.0,0.027300004148855805,0.2868000010494143,3367.905300008715,0.018000006093643606,3368.5532999952557,12,1.0,42,True,False,quantum_simulator,,0.0,-1586.6984625912448,-1586.6984625912448,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.19140625,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_035_MND_954F0551D2D8,HYBRID-3-WARM,-1586.6984625912448,-1507.5221776869525,-1586.6984625912448,-1586.6984625912448,"REQ_8ECF5D85FBFF,REQ_1CA414B99154",2,6760.0,0.7825371180900598,True,0.0,0.02820001100189984,0.7865999941714108,3078.07010000397,0.010900010238401592,3079.3485999893164,12,1.0,42,True,False,quantum_simulator,,0.0,-1586.6984625912448,-1507.5221776869525,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.212890625,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_035_MND_954F0551D2D8,QUBO_CLASSICAL,-1586.6984625912448,-1586.6984625912448,-1586.6984625912448,-1586.6984625912448,"REQ_8ECF5D85FBFF,REQ_1CA414B99154",2,6760.0,0.7825371180900598,True,0.0,0.024499997380189598,0.29099998937454075,72.91680001071654,0.03440000000409782,73.556200004532,12,1.0,42,True,False,classical_qubo,,0.0,-1586.6984625912448,-1586.6984625912448,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
CIRC_036_MND_954F0551D2D8,HYBRID-3,-1310.2019301243358,-609.5672927954598,-1310.2019301243358,-1310.2019301243358,REQ_050E44359DC5,1,5230.0,0.9911830370880185,True,0.0,0.022199994418770075,0.2930000046035275,2863.6870000045747,0.01440000778529793,2864.3012999964412,12,1.0,42,True,False,quantum_simulator,,0.0,-1310.2019301243358,-609.5672927954598,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.126953125,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_036_MND_954F0551D2D8,HYBRID-3-WARM,-1310.2019301243358,-427.4502330817128,-1310.2019301243358,-1310.2019301243358,REQ_050E44359DC5,1,5230.0,0.9911830370880185,True,0.0,0.020099992980249226,0.3090999962296337,3338.8537999999244,0.01410000550094992,3339.55249999417,12,1.0,42,True,False,quantum_simulator,,0.0,-1310.2019301243358,-427.4502330817128,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1416015625,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_036_MND_954F0551D2D8,QUBO_CLASSICAL,-1310.2019301243358,-1310.2019301243358,-1310.2019301243358,-1310.2019301243358,REQ_050E44359DC5,1,5230.0,0.9911830370880185,True,0.0,0.02379999205004424,0.4017000028397888,64.67999999586027,0.013699987903237343,65.500400000019,12,1.0,42,True,False,classical_qubo,,0.0,-1310.2019301243358,-1310.2019301243358,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
CIRC_037_MND_C163C6E4A832,HYBRID-3,-301.60530153292564,-206.02160245060014,-301.60530153292564,-301.60530153292564,REQ_4D916649A892,1,1710.0,0.8385321285216486,True,0.0,0.01440000778529793,0.16349999350495636,3746.1383000045316,0.008399991202168167,3746.474200001103,12,1.0,42,True,False,quantum_simulator,,0.0,-301.60530153292564,-206.02160245060014,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1123046875,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_037_MND_C163C6E4A832,HYBRID-3-WARM,-301.60530153292564,-198.34083248112609,-301.60530153292564,-301.60530153292564,REQ_4D916649A892,1,1710.0,0.8385321285216486,True,0.0,0.017600003047846258,0.26030000299215317,3469.2249999934575,0.017600003047846258,3469.787099995301,12,1.0,42,True,False,quantum_simulator,,0.0,-301.60530153292564,-198.34083248112609,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1142578125,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_037_MND_C163C6E4A832,QUBO_CLASSICAL,-301.60530153292564,-301.60530153292564,-301.60530153292564,-301.60530153292564,REQ_4D916649A892,1,1710.0,0.8385321285216486,True,0.0,0.02610000956337899,0.41629999759607017,78.10859999153763,0.0185999961104244,78.95850000204518,12,1.0,42,True,False,classical_qubo,,0.0,-301.60530153292564,-301.60530153292564,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
CIRC_038_MND_9AE87167EF0F,HYBRID-3,-665.7702337290665,-665.7702337290665,-665.7702337290665,-665.7702337290665,REQ_8C955B4F70EC,1,3390.0,0.9635156077393976,True,0.0,0.022799998987466097,0.30849999166093767,3051.014099997701,0.01589999010320753,3051.6249000065727,12,1.0,42,True,False,quantum_simulator,,0.0,-665.7702337290665,-665.7702337290665,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1298828125,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_038_MND_9AE87167EF0F,HYBRID-3-WARM,-665.7702337290665,-665.7702337290665,-665.7702337290665,-665.7702337290665,REQ_8C955B4F70EC,1,3390.0,0.9635156077393976,True,0.0,0.02400000812485814,0.4364000051282346,3342.1474999922793,0.01479999627918005,3343.0249000084586,12,1.0,42,True,False,quantum_simulator,,0.0,-665.7702337290665,-665.7702337290665,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1220703125,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_038_MND_9AE87167EF0F,QUBO_CLASSICAL,-665.7702337290665,-665.7702337290665,-665.7702337290665,-665.7702337290665,REQ_8C955B4F70EC,1,3390.0,0.9635156077393976,True,0.0,0.023999993572942913,0.403900005039759,63.28989999019541,0.013900003978051245,64.1124999965541,12,1.0,42,True,False,classical_qubo,,0.0,-665.7702337290665,-665.7702337290665,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
CIRC_039_MND_D5BFCB18509B,HYBRID-3,-502.47993842839,-274.73452958410496,-502.47993842839,-502.47993842839,REQ_28F2051978F8,1,2350.0,0.9761404470687765,True,0.0,0.012800010154023767,0.16509999113623053,3162.877800001297,0.016699996194802225,3163.2294000010006,12,1.0,42,True,False,quantum_simulator,,0.0,-502.47993842839,-274.73452958410496,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1279296875,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_039_MND_D5BFCB18509B,HYBRID-3-WARM,-502.47993842839,-456.5101953421139,-502.47993842839,-502.47993842839,REQ_28F2051978F8,1,2350.0,0.9761404470687765,True,0.0,0.022899999748915434,0.4312999953981489,3378.656000000774,0.011500000255182385,3379.5376000052784,12,1.0,42,True,False,quantum_simulator,,0.0,-502.47993842839,-456.5101953421139,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.107421875,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_039_MND_D5BFCB18509B,QUBO_CLASSICAL,-502.47993842839,-502.47993842839,-502.47993842839,-502.47993842839,REQ_28F2051978F8,1,2350.0,0.9761404470687765,True,0.0,0.12530000822152942,0.4191999905742705,73.70649999938905,0.015500001609325409,74.64419999450911,12,1.0,42,True,False,classical_qubo,,0.0,-502.47993842839,-502.47993842839,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
