experiment,category,instance_id,algorithm,objective,feasible,distance_km,time_min,toll_inr,fuel_inr,empty_km,circular_score,classical_objective,improvement,total_ms,classical_ms,cost_snapshot_id,seed,q_quantum_invoked,q_quantum_contribution_used,q_final_route_source,variant,violations,tour,corridor_ms,qubo_build_ms,quantum_ms,decode_ms,postprocess_ms,n_qubo_vars,q_quantum_artifact_source,q_quantum_artifact_ids,q_quantum_contribution_score,q_classical_incumbent_objective,q_quantum_candidate_objective,q_rejection_reason,q_n_qubits,q_circuit_depth,q_shots,q_feasible_sampling_rate,q_coupling_density,q_skip_reason
quav_hybrid_v1,simple_alternatives,INS_0E155FAAD67A,HYBRID-1,252.0225714285714,False,134.529,175.47,49.05,2475.34,32.164,0.0,252.0225714285714,0.0,1.1660000018309802,0.152900000102818,CST_48011250D4FB,42,False,False,classical_incumbent,HYBRID-1,route_0_node_2_late,"0,1,6,5,4,3,2",0.8904999995138496,0.0,0.0,0.0,0.0,,none,,0.0,252.0225714285714,,,,,,,,"classical choice is confident (closest alternative is 10.9% worse, threshold 5%)"
quav_hybrid_v1,simple_alternatives,INS_0E155FAAD67A,HYBRID-2,252.0225714285714,False,134.529,175.47,49.05,2475.34,32.164,0.0,252.0225714285714,0.0,1.2883000017609447,0.1537000061944127,CST_48011250D4FB,42,False,False,classical_incumbent,HYBRID-2,route_0_node_2_late,"0,1,6,5,4,3,2",0.9973999985959381,0.0,0.0,0.0,0.0,,none,,0.0,252.0225714285714,,,,,,,,"classical choice is confident (closest alternative is 10.9% worse, threshold 5%)"
quav_hybrid_v1,simple_alternatives,INS_A3D8148A06C4,BEST_CLASSICAL,1146.0093,False,625.392,815.87,454.2,11507.2,131.128,0.0,1146.0093,0.0,0.8499999967170879,0.6792000058339909,CST_48011250D4FB,42,False,False,classical_incumbent,,,,,,,,,,,,,,,,,,,,,
quav_hybrid_v1,simple_alternatives,INS_A3D8148A06C4,HYBRID-1,1146.0093,False,625.392,815.87,454.2,11507.2,131.128,0.0,1146.0093,0.0,1973.923699988518,0.6331999902613461,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-1,route_0_over_capacity;route_0_node_7_late;route_0_node_2_late;route_0_node_10_late;route_0_node_9_late;route_0_node_8_late,"0,4,11,7,3,2,6,10,5,1,9,8",15.216600004350767,0.16090000281110406,1957.6387999986764,0.0011999945854768157,0.0,12.0,quantum_simulator,,0.0,1146.0093,,no_feasible_quantum_sample,12.0,78.0,1024.0,0.0,0.42424242424242425,
quav_hybrid_v1,simple_alternatives,INS_A3D8148A06C4,HYBRID-2,1146.0093,False,625.392,815.87,454.2,11507.2,131.128,0.0,1146.0093,0.0,2078.2733999949414,1.6312999941874295,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-2,route_0_over_capacity;route_0_node_7_late;route_0_node_2_late;route_0_node_10_late;route_0_node_9_late;route_0_node_8_late,"0,4,11,7,3,2,6,10,5,1,9,8",35.879300005035475,0.5267000087769702,2036.9617999967886,0.0526000076206401,2.522000009776093,12.0,quantum_simulator,,0.0,1146.0093,1146.0093,candidate_infeasible_after_refinement,12.0,78.0,1024.0,0.0009765625,0.42424242424242425,
quav_hybrid_v1,simple_alternatives,INS_C37F6A577DD3,BEST_CLASSICAL,118.45469999999999,False,69.064,91.92,8.24,1270.8,1.626,0.0,118.45469999999999,0.0,0.6164999940665439,0.30759999935980886,CST_48011250D4FB,42,False,False,classical_incumbent,,,,,,,,,,,,,,,,,,,,,
quav_hybrid_v1,simple_alternatives,INS_C37F6A577DD3,HYBRID-1,118.45469999999999,False,69.064,91.92,8.24,1270.8,1.626,0.0,118.45469999999999,0.0,2030.328599998029,0.2142000012099743,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-1,route_0_over_capacity,"0,6,5,3,7,2,4,1,8,9",3.0076999973971397,0.14400000509340316,2026.7480000038631,0.001200009137392044,0.0,12.0,quantum_simulator,,0.0,118.45469999999999,,no_feasible_quantum_sample,12.0,78.0,1024.0,0.0,0.45454545454545453,
quav_hybrid_v1,simple_alternatives,INS_C37F6A577DD3,HYBRID-2,118.45469999999999,False,69.064,91.92,8.24,1270.8,1.626,0.0,118.45469999999999,0.0,2370.314600004349,0.5949000042164698,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-2,route_0_over_capacity,"0,6,5,3,7,2,4,1,8,9",8.179199998266995,0.27480001153890043,2360.394200004521,0.0009999930625781417,0.0,12.0,quantum_simulator,,0.0,118.45469999999999,,no_feasible_quantum_sample,12.0,78.0,1024.0,0.0,0.45454545454545453,
quav_hybrid_v1,multi_stop,INS_25D0DC054C1A,BEST_CLASSICAL,2797.3877235294117,False,1684.862,2197.82,1969.25,31001.48,12.708,0.0,2797.3877235294117,0.0,3.396699990844354,3.220900005544536,CST_48011250D4FB,42,False,False,classical_incumbent,,,,,,,,,,,,,,,,,,,,,
quav_hybrid_v1,multi_stop,INS_25D0DC054C1A,HYBRID-1,2797.3877235294117,False,1684.862,2197.82,1969.25,31001.48,12.708,0.0,2797.3877235294117,0.0,3415.811999992002,3.0390000029001385,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-1,route_0_over_capacity;route_0_node_7_late;route_0_node_4_late;route_0_node_6_late;route_0_node_2_late;route_0_node_11_late;route_0_node_1_late;route_0_node_5_late,"0,12,13,9,7,8,14,15,10,4,3,6,2,16,11,1,5",1.865299986093305,0.1531000016257167,3410.529500004486,0.0004999892553314567,0.0,18.0,quantum_simulator,,0.0,2797.3877235294117,,no_feasible_quantum_sample,18.0,66.0,1024.0,0.0,0.19607843137254902,
